,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
101,Stephen Curry,PG,34,GSW,26,26,34.4,10.1,20.2,.500,5.0,11.6,.434,5.0,8.5,.590,.625,4.8,5.2,.919,0.6,6.0,6.6,6.8,1.0,0.3,3.1,2.1,30.0
102,Dyson Daniels,PG,19,NOP,22,5,20.0,2.1,4.2,.500,0.7,1.6,.417,1.4,2.5,.554,.582,0.7,1.0,.682,0.6,2.9,3.5,2.3,0.7,0.2,0.9,2.1,5.5
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Anthony Davis,C,29,LAL,25,25,33.4,10.2,17.2,.594,0.4,1.2,.290,9.8,15.9,.618,.605,6.6,8.0,.826,3.1,9.0,12.1,2.6,1.3,2.1,1.9,2.7,27.4
105,Johnny Davis,SG,20,WAS,8,0,5.6,0.4,1.4,.273,0.0,0.3,.000,0.4,1.1,.333,.273,0.4,0.4,1.000,0.1,0.5,0.6,0.3,0.0,0.1,0.1,1.5,1.1
106,Terence Davis,SG,25,SAC,26,2,13.8,2.6,5.9,.435,1.5,4.0,.365,1.1,1.9,.580,.558,0.5,0.7,.824,0.5,2.2,2.7,1.3,0.8,0.3,0.9,2.0,7.2
107,JD Davison,PG,20,BOS,3,0,2.7,0.3,1.3,.250,0.0,0.7,.000,0.3,0.7,.500,.250,0.0,0.0,,0.0,0.3,0.3,0.3,0.3,0.0,0.3,0.0,0.7
108,Dewayne Dedmon,C,33,MIA,26,0,12.2,2.4,4.7,.508,0.4,1.4,.306,2.0,3.3,.593,.553,1.2,1.6,.714,1.0,2.7,3.7,0.6,0.2,0.5,0.7,2.0,6.3
109,Matthew Dellavedova,PG,32,SAC,14,0,7.1,0.5,1.6,.304,0.2,0.7,.300,0.3,0.9,.308,.370,0.1,0.2,.333,0.1,0.3,0.4,1.4,0.4,0.0,0.4,0.9,1.3
110,DeMar DeRozan,SF,33,CHI,31,31,35.5,9.1,18.0,.508,0.4,1.4,.295,8.7,16.5,.526,.520,7.2,8.1,.888,0.5,4.5,5.0,4.7,0.8,0.4,2.0,2.7,25.9
111,Moussa Diabaté,PF,21,LAC,8,1,11.3,1.6,3.0,.542,0.0,0.0,,1.6,3.0,.542,.542,0.9,1.1,.778,2.5,1.5,4.0,0.3,0.4,0.1,0.6,1.3,4.1
112,Mamadi Diakite,PF,26,CLE,11,2,7.5,0.9,1.9,.476,0.4,1.1,.333,0.5,0.8,.667,.571,0.0,0.0,,0.3,0.7,1.0,0.2,0.2,0.5,0.5,1.0,2.2
113,Hamidou Diallo,SG,24,DET,27,0,14.6,2.4,4.9,.489,0.1,0.5,.154,2.3,4.4,.525,.496,1.4,2.3,.623,0.9,1.9,2.7,0.9,0.5,0.2,0.8,2.0,6.2
114,Gorgui Dieng,C,33,SAS,12,1,11.8,1.5,3.7,.409,0.8,2.6,.290,0.8,1.1,.692,.511,0.3,0.3,.750,1.0,2.3,3.3,1.8,0.1,0.4,1.0,1.8,4.0
115,Ousmane Dieng,SF,19,OKC,14,0,15.7,1.8,4.2,.424,0.7,2.4,.294,1.1,1.8,.600,.508,0.1,0.3,.250,0.4,2.4,2.9,1.4,0.4,0.3,0.5,0.9,4.4
116,Spencer Dinwiddie,PG,29,DAL,31,31,31.9,5.8,12.5,.463,2.7,6.5,.421,3.1,6.0,.508,.572,2.3,2.8,.826,0.4,2.9,3.3,5.3,1.0,0.3,1.7,2.3,16.6
117,Donte DiVincenzo,SG,26,GSW,23,4,20.5,2.2,5.6,.388,1.4,3.7,.372,0.8,1.9,.419,.512,0.7,0.9,.800,0.9,3.3,4.1,2.7,1.2,0.1,1.4,2.0,6.4
118,Luka Dončić,PG,23,DAL,29,29,36.3,11.0,22.2,.494,2.8,8.2,.345,8.1,14.0,.581,.557,7.4,10.1,.737,0.8,7.4,8.3,8.7,1.6,0.6,3.7,2.8,32.2
119,Tyler Dorsey,SG,26,DAL,2,0,3.5,2.0,2.5,.800,0.5,1.0,.500,1.5,1.5,1.000,.900,0.0,0.0,,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,4.5
120,Luguentz Dort,SG,23,OKC,31,31,30.6,4.8,11.8,.403,1.7,5.3,.323,3.1,6.5,.468,.475,2.6,3.5,.766,1.5,2.8,4.4,2.4,1.0,0.4,1.6,3.3,13.9
